年月,品目,規格,地域,値,単位,状態,出典,注記
2026-03,特殊作業員,所定労働時間内8時間当たり,鳥取県,23600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,鳥取県,18200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,鳥取県,29500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,鳥取県,27900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,島根県,24100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,島根県,19700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,島根県,29200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,島根県,27000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,岡山県,25600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,岡山県,21500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,岡山県,29900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,岡山県,29300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,広島県,25800,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,広島県,22200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,広島県,28300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,広島県,28200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,山口県,24100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,山口県,20500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,山口県,29300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,山口県,27100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,徳島県,26300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,徳島県,24100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,徳島県,27100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,徳島県,29500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,香川県,27500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,香川県,25000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,香川県,27600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,香川県,29600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,愛媛県,25500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,愛媛県,21500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,愛媛県,25700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,愛媛県,29100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,高知県,25200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,高知県,21900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,高知県,25700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,高知県,28600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,福岡県,29000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,福岡県,24100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,福岡県,29900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,福岡県,28200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,佐賀県,25700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,佐賀県,20700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,佐賀県,29500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,佐賀県,30600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,長崎県,27000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,長崎県,21900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,長崎県,29500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,長崎県,28000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,熊本県,27100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,熊本県,22100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,熊本県,30000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,熊本県,27900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,大分県,26300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,大分県,21000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,大分県,30200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,大分県,27400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,宮崎県,29100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,宮崎県,20300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,宮崎県,28400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,宮崎県,28600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,鹿児島県,32000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,鹿児島県,21900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,鹿児島県,29900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,鹿児島県,31400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,沖縄県,28500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,沖縄県,23300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,沖縄県,33200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,沖縄県,32300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
